iter	Passed	Remaining
0	0	77
1	1	69
2	1	61
3	2	55
4	2	54
5	3	56
6	4	59
7	5	58
8	5	58
9	6	58
10	7	57
11	7	57
12	8	55
13	9	58
14	10	59
15	26	137
16	32	157
17	34	156
18	35	149
19	36	144
20	39	147
21	44	156
22	45	153
23	47	150
24	48	145
25	49	139
26	49	134
27	51	131
28	51	127
29	52	123
30	54	120
31	54	116
32	55	113
33	56	110
34	57	106
35	58	103
36	58	100
37	59	97
38	60	94
39	60	91
40	61	88
41	61	85
42	63	84
43	64	81
44	65	79
45	66	77
46	67	76
47	69	75
48	71	74
49	72	72
50	73	70
51	74	68
52	75	66
53	75	64
54	76	62
55	77	60
56	77	58
57	78	56
58	78	54
59	79	52
60	82	52
61	82	50
62	83	49
63	84	47
64	84	45
65	85	44
66	86	42
67	86	40
68	87	39
69	88	37
70	88	36
71	89	34
72	89	33
73	90	31
74	90	30
75	91	28
76	91	27
77	92	26
78	93	24
79	93	23
80	94	22
81	94	20
82	95	19
83	95	18
84	96	17
85	97	15
86	97	14
87	98	13
88	99	12
89	99	11
90	100	9
91	101	8
92	101	7
93	102	6
94	102	5
95	103	4
96	103	3
97	104	2
98	104	1
99	105	0
