iter	Passed	Remaining
0	134	133974
1	134	67291
2	135	45032
3	136	33900
4	136	27239
5	137	22761
6	137	19575
7	138	17226
8	139	15378
9	140	13881
10	141	12678
11	141	11660
12	142	10790
13	142	10044
14	143	9399
15	143	8836
16	144	8352
17	145	7922
18	145	7531
19	146	7172
20	146	6847
21	147	6558
22	148	6288
23	148	6042
24	149	5814
25	149	5608
26	150	5417
27	150	5236
28	151	5073
29	152	4916
30	152	4768
31	153	4631
32	153	4501
33	154	4379
34	154	4266
35	155	4159
36	155	4057
37	156	3968
38	157	3877
39	157	3789
40	158	3708
41	159	3629
42	159	3552
43	160	3481
44	160	3411
45	161	3348
46	162	3287
47	162	3228
48	163	3170
49	164	3116
50	164	3060
51	165	3008
52	165	2959
53	166	2912
54	166	2865
55	167	2825
56	168	2788
57	169	2747
58	169	2707
59	170	2669
60	170	2632
61	172	2604
62	172	2569
63	173	2535
64	174	2505
65	174	2474
66	175	2443
67	176	2413
68	176	2383
69	177	2354
70	177	2325
71	178	2297
72	178	2270
73	179	2246
74	180	2223
75	180	2199
76	181	2174
77	181	2150
78	182	2127
79	183	2105
80	183	2082
81	184	2060
82	184	2037
83	184	2017
84	186	2002
85	186	1987
86	187	1970
87	188	1953
88	189	1935
89	189	1917
90	190	1899
91	190	1882
92	191	1868
93	192	1853
94	193	1842
95	194	1827
96	194	1811
97	195	1795
98	195	1779
99	196	1764
100	196	1750
101	197	1735
102	197	1721
103	198	1709
104	199	1699
105	199	1686
106	200	1673
107	201	1660
108	201	1647
109	202	1634
110	202	1622
111	203	1610
112	203	1599
113	204	1591
114	213	1645
115	214	1633
116	214	1621
117	215	1610
118	215	1598
119	216	1586
120	217	1576
121	217	1565
122	218	1559
123	219	1548
124	219	1538
125	220	1528
126	220	1517
127	221	1507
128	221	1498
129	222	1488
130	222	1479
131	223	1469
132	224	1461
133	224	1453
134	225	1444
135	225	1435
136	226	1426
137	226	1417
138	227	1409
139	228	1400
140	228	1392
141	229	1383
142	229	1375
143	230	1368
144	230	1361
145	231	1353
146	232	1346
147	232	1338
148	233	1331
149	233	1324
150	234	1316
151	234	1309
152	235	1302
153	235	1296
154	236	1290
155	237	1284
156	237	1277
157	238	1270
158	238	1263
159	239	1256
160	239	1248
161	240	1242
162	240	1236
163	241	1231
164	242	1225
165	242	1220
166	243	1215
167	244	1209
168	244	1204
169	245	1198
170	245	1192
171	246	1186
172	247	1180
173	247	1175
174	248	1170
175	248	1165
176	249	1160
177	250	1155
178	250	1149
179	251	1144
180	251	1138
181	252	1133
182	252	1128
183	253	1123
184	253	1118
185	254	1113
186	255	1109
187	255	1104
188	256	1099
189	256	1094
190	257	1090
191	257	1085
192	258	1081
193	259	1076
194	259	1071
195	260	1066
196	260	1063
197	261	1059
198	262	1055
199	262	1050
200	263	1046
201	263	1042
202	264	1037
203	264	1033
204	265	1029
205	265	1024
206	266	1020
207	267	1017
208	267	1013
209	268	1009
210	268	1005
211	269	1001
212	269	997
213	270	993
214	271	989
215	271	985
216	272	982
217	272	978
218	273	975
219	274	971
220	274	967
221	275	964
222	275	960
223	276	956
224	276	952
225	277	949
226	277	945
227	278	942
228	278	938
229	279	935
230	280	932
231	280	928
232	281	925
233	281	921
234	282	918
235	282	914
236	283	911
237	283	908
238	284	905
239	285	903
240	285	900
241	286	897
242	287	894
243	287	891
244	288	888
245	288	885
246	289	882
247	290	879
248	290	876
249	291	873
250	291	871
251	292	868
252	293	866
253	293	863
254	294	860
255	295	857
256	295	854
257	296	851
258	297	849
259	298	848
260	298	846
261	300	845
262	305	855
263	306	853
264	307	851
265	307	849
266	308	847
267	309	846
268	311	845
269	320	866
270	321	864
271	324	867
272	325	866
273	325	863
274	328	865
275	330	865
276	331	865
277	333	865
278	334	863
279	335	862
280	336	860
281	337	858
282	338	856
283	338	853
284	339	850
285	339	847
286	340	846
287	341	844
288	342	842
289	343	840
290	344	838
291	344	835
292	345	832
293	346	831
294	347	830
295	348	827
296	348	825
297	349	823
298	350	821
299	350	818
300	351	816
301	352	814
302	352	811
303	353	809
304	354	807
305	355	805
306	355	803
307	356	801
308	357	798
309	358	796
310	358	794
311	360	794
312	361	793
313	362	791
314	363	789
315	363	787
316	364	784
317	364	782
318	365	779
319	365	777
320	366	775
321	367	773
322	368	771
323	368	769
324	369	766
325	369	764
326	370	762
327	370	759
328	371	757
329	372	755
330	372	753
331	373	751
332	374	749
333	374	747
334	375	745
335	376	743
336	376	741
337	378	741
338	379	739
339	379	737
340	380	736
341	381	734
342	382	732
343	383	730
344	384	729
345	385	728
346	386	727
347	387	725
348	387	723
349	388	721
350	389	719
351	390	718
352	391	717
353	392	715
354	392	713
355	393	711
356	393	709
357	394	707
358	395	705
359	395	703
360	396	702
361	397	700
362	398	698
363	398	696
364	399	695
365	400	693
366	400	691
367	401	689
368	402	687
369	402	686
370	403	684
371	404	683
372	405	681
373	406	679
374	406	677
375	407	676
376	408	674
377	408	672
378	409	671
379	410	670
380	411	668
381	412	666
382	412	664
383	413	663
384	413	661
385	414	659
386	415	658
387	416	657
388	417	655
389	418	653
390	418	652
391	419	650
392	419	648
393	420	646
394	421	645
395	422	644
396	423	642
397	423	640
398	424	639
399	425	637
400	426	636
401	426	634
402	427	633
403	428	632
404	429	631
405	430	629
406	431	628
407	431	626
408	432	625
409	433	624
410	435	623
411	435	622
412	436	620
413	437	618
414	438	617
415	439	616
416	439	615
417	440	613
418	441	612
419	442	610
420	443	609
421	444	608
422	444	606
423	445	605
424	446	604
425	447	602
426	447	601
427	448	599
428	449	598
429	450	596
430	450	595
431	451	593
432	452	592
433	453	591
434	453	589
435	454	587
436	455	586
437	455	585
438	456	583
439	457	582
440	458	580
441	458	579
442	459	577
443	460	576
444	461	575
445	461	573
446	462	572
447	463	571
448	464	569
449	464	568
450	465	566
451	466	565
452	466	563
453	467	562
454	467	560
455	468	559
456	469	557
457	470	556
458	470	554
459	471	553
460	471	551
461	472	550
462	473	548
463	473	547
464	474	545
465	474	544
466	475	542
467	476	541
468	476	539
469	477	538
470	477	536
471	478	535
472	478	533
473	479	532
474	480	530
475	480	529
476	481	527
477	482	526
478	482	524
479	483	523
480	483	522
481	484	520
482	484	519
483	485	517
484	486	516
485	486	514
486	487	513
487	488	512
488	488	510
489	489	509
490	489	507
491	490	506
492	491	505
493	491	503
494	492	502
495	492	500
496	493	499
497	494	498
498	494	496
499	495	495
500	495	493
501	496	492
502	496	490
503	497	489
504	497	487
505	498	486
506	498	484
507	499	483
508	499	482
509	500	481
510	501	479
511	501	478
512	502	477
513	503	475
514	503	474
515	504	472
516	504	471
517	505	470
518	505	468
519	506	467
520	507	466
521	507	465
522	508	463
523	508	462
524	509	460
525	509	459
526	510	458
527	511	456
528	511	455
529	512	454
530	512	453
531	513	451
532	514	450
533	514	449
534	515	447
535	515	446
536	516	445
537	516	443
538	517	442
539	517	441
540	518	439
541	519	438
542	519	437
543	520	436
544	520	434
545	521	433
546	522	432
547	522	431
548	523	429
549	523	428
550	524	427
551	525	426
552	525	425
553	526	423
554	526	422
555	527	421
556	528	419
557	528	418
558	529	417
559	529	416
560	530	414
561	530	413
562	531	412
563	532	411
564	532	410
565	533	408
566	533	407
567	534	406
568	534	405
569	535	403
570	536	402
571	536	401
572	537	400
573	538	399
574	538	398
575	539	396
576	539	395
577	540	394
578	540	393
579	541	391
580	541	390
581	542	389
582	543	388
583	543	387
584	544	386
585	544	385
586	545	383
587	545	382
588	546	381
589	547	380
590	547	379
591	548	377
592	548	376
593	549	375
594	550	374
595	550	373
596	551	372
597	552	371
598	552	369
599	553	368
600	553	367
601	554	366
602	554	365
603	555	364
604	556	363
605	557	362
606	557	361
607	558	359
608	558	358
609	559	357
610	559	356
611	560	355
612	561	354
613	561	353
614	562	352
615	563	351
616	563	349
617	564	348
618	564	347
619	565	346
620	565	345
621	566	344
622	566	343
623	567	341
624	568	340
625	568	339
626	569	338
627	569	337
628	570	336
629	570	335
630	571	334
631	571	333
632	572	332
633	573	330
634	574	329
635	574	328
636	575	327
637	575	326
638	576	325
639	576	324
640	577	323
641	577	322
642	578	321
643	579	320
644	579	319
645	580	318
646	581	317
647	581	315
648	582	314
649	582	313
650	583	312
651	583	311
652	584	310
653	585	309
654	585	308
655	586	307
656	587	306
657	588	305
658	588	304
659	589	303
660	589	302
661	590	301
662	590	300
663	591	299
664	591	298
665	592	297
666	593	296
667	593	295
668	594	294
669	594	293
670	595	291
671	596	290
672	596	289
673	597	288
674	597	287
675	598	286
676	599	285
677	599	284
678	600	283
679	600	282
680	601	281
681	601	280
682	602	279
683	602	278
684	603	277
685	603	276
686	604	275
687	605	274
688	605	273
689	606	272
690	606	271
691	607	270
692	608	269
693	608	268
694	609	267
695	609	266
